,generalElectionVote,Vote
7772,Labour,Labour
7773,Labour,Labour
7774,Labour,Labour
7775,Labour,Labour
7776,Labour,Labour
7777,Labour,Labour
7778,Brexit Party,Brexit Party
7779,Liberal Democrat,Liberal Democrat
7780,Conservative,Conservative
7781,Conservative,Conservative
7782,Conservative,Conservative
7783,Conservative,Conservative
7784,Brexit Party,Brexit Party
7785,Conservative,Conservative
7786,Conservative,Conservative
7787,Brexit Party,Brexit Party
7788,Green Party,Green Party
7789,Labour,Labour
7790,Conservative,Conservative
7791,Labour,Labour
7792,Labour,Labour
7793,Brexit Party,Brexit Party
7794,Brexit Party,Brexit Party
7795,Labour,Labour
7796,Liberal Democrat,Liberal Democrat
7797,Conservative,Conservative
7798,Conservative,Conservative
7799,Labour,Labour
7800,Conservative,Conservative
7801,Conservative,Conservative
7802,Conservative,Conservative
7803,Conservative,Conservative
7804,Brexit Party,Brexit Party
7805,Conservative,Conservative
7806,Conservative,Conservative
7807,Conservative,Conservative
7808,Liberal Democrat,Liberal Democrat
7809,Conservative,Conservative
7810,Brexit Party,Brexit Party
7811,Conservative,Conservative
7812,Conservative,Conservative
7813,Conservative,Conservative
7814,Labour,Labour
7815,Conservative,Conservative
7816,Conservative,Conservative
7817,Conservative,Conservative
7818,Conservative,Conservative
7819,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
7820,Conservative,Conservative
7821,Brexit Party,Brexit Party
7822,Conservative,Conservative
7823,Conservative,Conservative
7824,Labour,Labour
7825,Liberal Democrat,Liberal Democrat
7826,Conservative,Conservative
7827,Conservative,Conservative
7828,Conservative,Conservative
7829,Liberal Democrat,Liberal Democrat
7830,Conservative,Conservative
7831,Liberal Democrat,Liberal Democrat
7832,Liberal Democrat,Liberal Democrat
7833,Conservative,Conservative
7834,Liberal Democrat,Liberal Democrat
7835,Conservative,Conservative
7836,Conservative,Conservative
7837,Conservative,Conservative
7838,Labour,Labour
7839,Conservative,Conservative
7840,Conservative,Conservative
7841,Liberal Democrat,Liberal Democrat
7842,Conservative,Conservative
7843,Brexit Party,Brexit Party
7844,Labour,Labour
7845,Brexit Party,Brexit Party
7846,Conservative,Conservative
7847,Liberal Democrat,Liberal Democrat
7848,Conservative,Conservative
7849,Labour,Labour
7850,Conservative,Conservative
7851,Liberal Democrat,Liberal Democrat
7852,Conservative,Conservative
7853,Conservative,Conservative
7854,Labour,Labour
7855,Green Party,Green Party
7856,Conservative,Conservative
7857,Conservative,Conservative
7858,Conservative,Conservative
7859,Conservative,Conservative
7860,Labour,Labour
7861,Green Party,Green Party
7862,Conservative,Conservative
7863,Labour,Labour
7864,Conservative,Conservative
7865,Labour,Labour
7866,Labour,Labour
7867,Conservative,Conservative
7868,Conservative,Conservative
7869,Labour,Labour
7870,Conservative,Conservative
7871,Labour,Labour
7872,Conservative,Conservative
7873,Labour,Labour
7874,Labour,Labour
7875,Liberal Democrat,Liberal Democrat
7876,Labour,Labour
7877,Conservative,Conservative
7878,Liberal Democrat,Liberal Democrat
7879,Labour,Labour
7880,Conservative,Conservative
7881,Liberal Democrat,Liberal Democrat
7882,Brexit Party,Brexit Party
7883,Liberal Democrat,Liberal Democrat
7884,Conservative,Conservative
7885,Conservative,Conservative
7886,Conservative,Conservative
7887,Brexit Party,Brexit Party
7888,Conservative,Conservative
7889,Conservative,Conservative
7890,Liberal Democrat,Liberal Democrat
7891,Green Party,Green Party
7892,Labour,Labour
7893,Conservative,Conservative
7894,Conservative,Conservative
7895,Conservative,Conservative
7896,Liberal Democrat,Liberal Democrat
7897,Labour,Labour
7898,Liberal Democrat,Liberal Democrat
7899,Liberal Democrat,Liberal Democrat
7900,Liberal Democrat,Liberal Democrat
7901,Conservative,Conservative
7902,Conservative,Conservative
7903,Conservative,Conservative
7904,Conservative,Conservative
7905,Conservative,Conservative
7906,Liberal Democrat,Liberal Democrat
7907,Liberal Democrat,Liberal Democrat
7908,Conservative,Conservative
7909,Liberal Democrat,Liberal Democrat
7910,Liberal Democrat,Liberal Democrat
7911,Brexit Party,Brexit Party
7912,Conservative,Conservative
7913,Liberal Democrat,Liberal Democrat
7914,Liberal Democrat,Liberal Democrat
7915,Conservative,Conservative
7916,Labour,Labour
7917,Conservative,Conservative
7918,Conservative,Conservative
7919,Liberal Democrat,Liberal Democrat
7920,Conservative,Conservative
7921,Liberal Democrat,Liberal Democrat
7922,Conservative,Conservative
7923,Conservative,Conservative
7924,Liberal Democrat,Liberal Democrat
7925,Conservative,Conservative
7926,Brexit Party,Brexit Party
7927,Liberal Democrat,Liberal Democrat
7928,Brexit Party,Brexit Party
7929,Liberal Democrat,Liberal Democrat
7930,Conservative,Conservative
7931,Brexit Party,Brexit Party
7932,Conservative,Conservative
7933,Conservative,Conservative
7934,Conservative,Conservative
7935,Conservative,Conservative
7936,Labour,Labour
7937,Brexit Party,Brexit Party
7938,Brexit Party,Brexit Party
7939,Labour,Labour
7940,Conservative,Conservative
7941,Liberal Democrat,Liberal Democrat
7942,Liberal Democrat,Liberal Democrat
7943,Conservative,Conservative
7944,Labour,Labour
7945,Conservative,Conservative
7946,Conservative,Conservative
7947,Conservative,Conservative
7948,Conservative,Conservative
7949,Liberal Democrat,Liberal Democrat
7950,Liberal Democrat,Liberal Democrat
7951,Brexit Party,Brexit Party
7952,Liberal Democrat,Liberal Democrat
7953,Labour,Labour
7954,Conservative,Conservative
7955,Labour,Labour
7956,Labour,Labour
7957,Conservative,Conservative
7958,Labour,Labour
7959,Labour,Labour
7960,Conservative,Conservative
7961,Labour,Labour
7962,Conservative,Conservative
7963,Conservative,Conservative
7964,Conservative,Conservative
7965,Labour,Labour
7966,Labour,Labour
7967,Green Party,Green Party
7968,Conservative,Conservative
7969,Conservative,Conservative
7970,Conservative,Conservative
7971,Conservative,Conservative
7972,Green Party,Green Party
7973,Labour,Labour
7974,Labour,Labour
7975,Conservative,Conservative
7976,Liberal Democrat,Liberal Democrat
7977,Brexit Party,Brexit Party
7978,An independent candidate,An independent candidate
7979,Conservative,Conservative
7980,Liberal Democrat,Liberal Democrat
7981,Labour,Labour
7982,Labour,Labour
7983,Brexit Party,Brexit Party
7984,Liberal Democrat,Liberal Democrat
7985,Labour,Labour
7986,Conservative,Conservative
7987,Labour,Labour
7988,Conservative,Conservative
7989,Labour,Labour
7990,Liberal Democrat,Liberal Democrat
7991,Labour,Labour
7992,Conservative,Conservative
7993,Labour,Labour
7994,Labour,Labour
7995,Labour,Labour
7996,Labour,Labour
7997,Labour,Labour
7998,Labour,Labour
7999,Conservative,Conservative
8000,Labour,Labour
8001,Green Party,Green Party
8002,Labour,Labour
8003,Liberal Democrat,Liberal Democrat
8004,Conservative,Conservative
8005,Liberal Democrat,Liberal Democrat
8006,Labour,Labour
8007,Labour,Labour
8008,Labour,Labour
8009,Labour,Labour
8010,Liberal Democrat,Liberal Democrat
8011,Liberal Democrat,Liberal Democrat
8012,Brexit Party,Brexit Party
8013,Labour,Labour
8014,Labour,Labour
8015,Labour,Labour
8016,Labour,Labour
8017,Labour,Labour
8018,Labour,Labour
8019,Conservative,Conservative
8020,Brexit Party,Brexit Party
8021,Labour,Labour
8022,Liberal Democrat,Liberal Democrat
8023,Labour,Labour
8024,Green Party,Green Party
8025,Labour,Labour
8026,Labour,Labour
8027,Labour,Labour
8028,Brexit Party,Brexit Party
8029,Conservative,Conservative
8030,Conservative,Conservative
8031,Conservative,Conservative
8032,Conservative,Conservative
8033,Liberal Democrat,Liberal Democrat
8034,Labour,Labour
8035,Conservative,Conservative
8036,Liberal Democrat,Liberal Democrat
8037,Labour,Labour
8038,Labour,Labour
8039,Conservative,Conservative
8040,Conservative,Conservative
8041,Green Party,Green Party
8042,Conservative,Conservative
8043,Conservative,Conservative
8044,Labour,Labour
8045,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
8046,Conservative,Conservative
8047,Conservative,Conservative
8048,Brexit Party,Brexit Party
8049,Labour,Labour
8050,Conservative,Conservative
8051,Conservative,Conservative
8052,Conservative,Conservative
8053,Conservative,Conservative
8054,Conservative,Conservative
8055,Conservative,Conservative
8056,Conservative,Conservative
8057,Conservative,Conservative
8058,Conservative,Conservative
8059,Conservative,Conservative
8060,Conservative,Conservative
8061,Conservative,Conservative
8062,Liberal Democrat,Liberal Democrat
8063,Conservative,Conservative
8064,Brexit Party,Brexit Party
8065,Conservative,Conservative
8066,Conservative,Conservative
8067,Liberal Democrat,Liberal Democrat
8068,Green Party,Green Party
8069,Labour,Labour
8070,Conservative,Conservative
8071,Conservative,Conservative
8072,Liberal Democrat,Liberal Democrat
8073,Conservative,Conservative
8074,Brexit Party,Brexit Party
8075,An independent candidate,An independent candidate
8076,Conservative,Conservative
8077,Conservative,Conservative
8078,Liberal Democrat,Liberal Democrat
8079,Liberal Democrat,Liberal Democrat
8080,Brexit Party,Brexit Party
8081,Green Party,Green Party
8082,Liberal Democrat,Liberal Democrat
8083,Labour,Labour
8084,Conservative,Conservative
8085,Labour,Labour
8086,Liberal Democrat,Liberal Democrat
8087,Conservative,Conservative
8088,Conservative,Conservative
8089,Conservative,Conservative
8090,Liberal Democrat,Liberal Democrat
8091,Conservative,Conservative
8092,Conservative,Conservative
8093,Green Party,Green Party
8094,Labour,Labour
8095,Brexit Party,Brexit Party
8096,Brexit Party,Brexit Party
8097,Conservative,Conservative
8098,Conservative,Conservative
8099,Conservative,Conservative
8100,Conservative,Conservative
8101,Labour,Labour
8102,Brexit Party,Brexit Party
8103,Labour,Labour
8104,Conservative,Conservative
8105,Brexit Party,Brexit Party
8106,Conservative,Conservative
8107,Conservative,Conservative
8108,Green Party,Green Party
8109,Labour,Labour
8110,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
8111,Labour,Labour
8112,Conservative,Conservative
8113,Conservative,Conservative
8114,Liberal Democrat,Liberal Democrat
8115,Labour,Labour
8116,Conservative,Conservative
8117,Conservative,Conservative
8118,Green Party,Green Party
8119,Brexit Party,Brexit Party
8120,Labour,Labour
8121,Conservative,Conservative
8122,Green Party,Green Party
8123,Brexit Party,Brexit Party
8124,Liberal Democrat,Liberal Democrat
8125,Brexit Party,Brexit Party
8126,Conservative,Conservative
8127,Conservative,Conservative
8128,Labour,Labour
8129,Labour,Labour
8130,Labour,Labour
8131,Labour,Labour
8132,Labour,Labour
8133,Labour,Labour
8134,Labour,Labour
8135,An independent candidate,An independent candidate
8136,Conservative,Conservative
8137,Conservative,Conservative
8138,Conservative,Conservative
8139,Labour,Labour
8140,Labour,Labour
8141,Brexit Party,Brexit Party
8142,Brexit Party,Brexit Party
8143,Brexit Party,Brexit Party
8144,Labour,Labour
8145,Labour,Labour
8146,Conservative,Conservative
8147,Labour,Labour
8148,Liberal Democrat,Liberal Democrat
8149,Liberal Democrat,Liberal Democrat
8150,Labour,Labour
8151,Conservative,Conservative
8152,Liberal Democrat,Liberal Democrat
8153,Conservative,Conservative
8154,Labour,Labour
8155,Labour,Labour
8156,Conservative,Conservative
8157,Conservative,Conservative
8158,Labour,Labour
8159,Brexit Party,Brexit Party
8160,Conservative,Conservative
8161,Conservative,Conservative
8162,Labour,Labour
8163,Conservative,Conservative
8164,Conservative,Conservative
8165,Labour,Labour
8166,Labour,Labour
8167,Brexit Party,Brexit Party
8168,Labour,Labour
8169,Conservative,Conservative
8170,Conservative,Conservative
8171,Conservative,Conservative
8172,Liberal Democrat,Liberal Democrat
8173,Labour,Labour
8174,Conservative,Conservative
8175,Labour,Labour
8176,Brexit Party,Brexit Party
8177,Conservative,Conservative
8178,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
8179,Liberal Democrat,Liberal Democrat
8180,Labour,Labour
8181,Conservative,Conservative
8182,Conservative,Conservative
8183,Labour,Labour
8184,Labour,Labour
8185,Liberal Democrat,Liberal Democrat
8186,Conservative,Conservative
8187,Liberal Democrat,Liberal Democrat
8188,Conservative,Conservative
8189,Liberal Democrat,Liberal Democrat
8190,Liberal Democrat,Liberal Democrat
8191,Labour,Labour
8192,Conservative,Conservative
8193,Conservative,Conservative
8194,Conservative,Conservative
8195,Conservative,Conservative
8196,Conservative,Conservative
8197,Conservative,Conservative
8198,Labour,Labour
8199,Conservative,Conservative
8200,Conservative,Conservative
8201,Labour,Labour
8202,Conservative,Conservative
8203,Labour,Labour
8204,Conservative,Conservative
8205,Brexit Party,Brexit Party
8206,Green Party,Green Party
8207,Conservative,Conservative
8208,Liberal Democrat,Liberal Democrat
8209,Liberal Democrat,Liberal Democrat
8210,Conservative,Conservative
8211,Conservative,Conservative
8212,Labour,Labour
8213,Liberal Democrat,Liberal Democrat
8214,Liberal Democrat,Liberal Democrat
8215,Liberal Democrat,Liberal Democrat
8216,Labour,Labour
8217,Labour,Labour
8218,Conservative,Conservative
8219,Liberal Democrat,Liberal Democrat
8220,Liberal Democrat,Liberal Democrat
8221,Liberal Democrat,Liberal Democrat
8222,Labour,Labour
8223,Labour,Labour
8224,Liberal Democrat,Liberal Democrat
8225,Liberal Democrat,Liberal Democrat
8226,Conservative,Conservative
8227,Conservative,Conservative
8228,Liberal Democrat,Liberal Democrat
8229,Conservative,Conservative
8230,Conservative,Conservative
8231,Liberal Democrat,Liberal Democrat
8232,Conservative,Conservative
8233,Conservative,Conservative
8234,Green Party,Green Party
8235,Conservative,Conservative
8236,Labour,Labour
8237,Conservative,Conservative
8238,Conservative,Conservative
8239,Conservative,Conservative
8240,Conservative,Conservative
8241,Liberal Democrat,Liberal Democrat
8242,Conservative,Conservative
8243,Conservative,Conservative
8244,Conservative,Conservative
8245,Conservative,Conservative
8246,Liberal Democrat,Liberal Democrat
8247,Conservative,Conservative
8248,Labour,Labour
8249,Conservative,Conservative
8250,Labour,Labour
8251,Labour,Labour
8252,Liberal Democrat,Liberal Democrat
8253,Labour,Labour
8254,Labour,Labour
8255,Conservative,Conservative
8256,Liberal Democrat,Liberal Democrat
8257,Labour,Labour
8258,Labour,Labour
8259,Liberal Democrat,Liberal Democrat
8260,Liberal Democrat,Liberal Democrat
8261,Liberal Democrat,Liberal Democrat
8262,Liberal Democrat,Liberal Democrat
8263,Labour,Labour
8264,Conservative,Conservative
8265,Conservative,Conservative
8266,Conservative,Conservative
8267,Conservative,Conservative
8268,Conservative,Conservative
8269,Liberal Democrat,Liberal Democrat
8270,Liberal Democrat,Liberal Democrat
8271,Liberal Democrat,Liberal Democrat
8272,Conservative,Conservative
8273,Liberal Democrat,Liberal Democrat
8274,Liberal Democrat,Liberal Democrat
8275,Liberal Democrat,Liberal Democrat
8276,Liberal Democrat,Liberal Democrat
8277,Green Party,Green Party
8278,Liberal Democrat,Liberal Democrat
8279,Liberal Democrat,Liberal Democrat
8280,Conservative,Conservative
8281,Labour,Labour
8282,Conservative,Conservative
8283,Conservative,Conservative
8284,Conservative,Conservative
8285,Conservative,Conservative
8286,Labour,Labour
8287,Labour,Labour
8288,Labour,Labour
8289,Liberal Democrat,Liberal Democrat
8290,Conservative,Conservative
8291,Green Party,Green Party
8292,Conservative,Conservative
8293,Labour,Labour
8294,Green Party,Green Party
8295,Labour,Labour
8296,Conservative,Conservative
8297,Conservative,Conservative
8298,Liberal Democrat,Liberal Democrat
8299,Conservative,Conservative
8300,Conservative,Conservative
8301,Liberal Democrat,Liberal Democrat
8302,Brexit Party,Brexit Party
8303,Liberal Democrat,Liberal Democrat
8304,Conservative,Conservative
8305,Conservative,Conservative
8306,Conservative,Conservative
8307,Conservative,Conservative
8308,Brexit Party,Brexit Party
8309,Labour,Labour
8310,Liberal Democrat,Liberal Democrat
8311,Conservative,Conservative
8312,Brexit Party,Brexit Party
8313,Labour,Labour
8314,Liberal Democrat,Liberal Democrat
8315,Conservative,Conservative
8316,Brexit Party,Brexit Party
8317,Liberal Democrat,Liberal Democrat
8318,Conservative,Conservative
8319,Labour,Labour
8320,Conservative,Conservative
8321,Conservative,Conservative
8322,Conservative,Conservative
8323,Labour,Labour
8324,Brexit Party,Brexit Party
8325,Green Party,Green Party
8326,Conservative,Conservative
8327,Liberal Democrat,Liberal Democrat
8328,Conservative,Conservative
8329,Labour,Labour
8330,Conservative,Conservative
8331,Brexit Party,Brexit Party
8332,Liberal Democrat,Liberal Democrat
8333,Liberal Democrat,Liberal Democrat
8334,Conservative,Conservative
8335,Labour,Labour
8336,Labour,Labour
8337,Conservative,Conservative
8338,Conservative,Conservative
8339,Conservative,Conservative
8340,Conservative,Conservative
8341,Conservative,Conservative
8342,Liberal Democrat,Liberal Democrat
8343,Conservative,Conservative
8344,Conservative,Conservative
8345,Labour,Labour
8346,Labour,Labour
8347,Labour,Labour
8348,Conservative,Conservative
8349,Brexit Party,Brexit Party
8350,Brexit Party,Brexit Party
8351,Conservative,Conservative
8352,Labour,Labour
8353,Labour,Labour
8354,Conservative,Conservative
8355,Labour,Labour
8356,Conservative,Conservative
8357,Liberal Democrat,Liberal Democrat
8358,Conservative,Conservative
8359,Conservative,Conservative
8360,Conservative,Conservative
8361,Labour,Labour
8362,Brexit Party,Brexit Party
8363,Conservative,Conservative
8364,Conservative,Conservative
8365,Brexit Party,Brexit Party
8366,Liberal Democrat,Liberal Democrat
8367,Conservative,Conservative
8368,Labour,Labour
8369,Conservative,Conservative
8370,Conservative,Conservative
8371,Conservative,Conservative
8372,Conservative,Conservative
8373,Labour,Labour
8374,Labour,Labour
8375,Conservative,Conservative
8376,Labour,Labour
8377,Conservative,Conservative
8378,Liberal Democrat,Liberal Democrat
8379,Labour,Labour
8380,Labour,Labour
8381,Conservative,Conservative
8382,Labour,Labour
8383,Conservative,Conservative
8384,Conservative,Conservative
8385,Conservative,Conservative
8386,Labour,Labour
8387,Labour,Labour
8388,Labour,Labour
8389,Conservative,Conservative
8390,Conservative,Conservative
8391,Conservative,Conservative
8392,Liberal Democrat,Liberal Democrat
8393,Conservative,Conservative
8394,Conservative,Conservative
8395,Conservative,Conservative
8396,Conservative,Conservative
8397,Labour,Labour
8398,Labour,Labour
8399,Conservative,Conservative
8400,Labour,Labour
8401,Brexit Party,Brexit Party
8402,Green Party,Green Party
8403,Labour,Labour
8404,Conservative,Conservative
8405,Brexit Party,Brexit Party
8406,Labour,Labour
8407,Green Party,Green Party
8408,Labour,Labour
8409,Conservative,Conservative
8410,Labour,Labour
8411,Labour,Labour
8412,Conservative,Conservative
8413,Labour,Labour
8414,Conservative,Conservative
8415,Conservative,Conservative
8416,Brexit Party,Brexit Party
8417,Labour,Labour
8418,Conservative,Conservative
8419,Brexit Party,Brexit Party
8420,Labour,Labour
8421,Liberal Democrat,Liberal Democrat
8422,Labour,Labour
8423,Conservative,Conservative
8424,Labour,Labour
8425,Labour,Labour
8426,Conservative,Conservative
8427,Conservative,Conservative
8428,Labour,Labour
8429,Liberal Democrat,Liberal Democrat
8430,Labour,Labour
8431,Brexit Party,Brexit Party
8432,Labour,Labour
8433,Conservative,Conservative
8434,Conservative,Conservative
8435,Conservative,Conservative
8436,Conservative,Conservative
8437,Conservative,Conservative
8438,Conservative,Conservative
8439,Conservative,Conservative
8440,Brexit Party,Brexit Party
8441,Conservative,Conservative
8442,Green Party,Green Party
8443,Conservative,Conservative
8444,Labour,Labour
8445,Liberal Democrat,Liberal Democrat
8446,Liberal Democrat,Liberal Democrat
8447,Brexit Party,Brexit Party
8448,Conservative,Conservative
8449,Conservative,Conservative
8450,Conservative,Conservative
8451,Liberal Democrat,Liberal Democrat
8452,Conservative,Conservative
8453,Brexit Party,Brexit Party
8454,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
8455,Conservative,Conservative
8456,Green Party,Green Party
8457,Liberal Democrat,Liberal Democrat
8458,Conservative,Conservative
8459,Conservative,Conservative
8460,Conservative,Conservative
8461,Conservative,Conservative
8462,Conservative,Conservative
8463,Liberal Democrat,Liberal Democrat
8464,Liberal Democrat,Liberal Democrat
8465,Liberal Democrat,Liberal Democrat
8466,Conservative,Conservative
8467,Conservative,Conservative
8468,Conservative,Conservative
8469,Conservative,Conservative
8470,Conservative,Conservative
8471,Liberal Democrat,Liberal Democrat
8472,Conservative,Conservative
8473,Liberal Democrat,Liberal Democrat
8474,Brexit Party,Brexit Party
8475,Conservative,Conservative
8476,Conservative,Conservative
8477,Brexit Party,Brexit Party
8478,Conservative,Conservative
8479,Conservative,Conservative
8480,Brexit Party,Brexit Party
8481,Conservative,Conservative
8482,Conservative,Conservative
8483,Liberal Democrat,Liberal Democrat
8484,Conservative,Conservative
8485,Conservative,Conservative
8486,Brexit Party,Brexit Party
8487,Labour,Labour
8488,Green Party,Green Party
8489,Conservative,Conservative
8490,Conservative,Conservative
8491,Conservative,Conservative
8492,Liberal Democrat,Liberal Democrat
8493,Labour,Labour
8494,Conservative,Conservative
8495,Conservative,Conservative
8496,Labour,Labour
8497,Brexit Party,Brexit Party
8498,Conservative,Conservative
8499,Conservative,Conservative
8500,Labour,Labour
8501,Liberal Democrat,Liberal Democrat
8502,Conservative,Conservative
8503,Conservative,Conservative
8504,Conservative,Conservative
8505,Conservative,Conservative
8506,Conservative,Conservative
8507,Liberal Democrat,Liberal Democrat
8508,Liberal Democrat,Liberal Democrat
8509,Liberal Democrat,Liberal Democrat
8510,Conservative,Conservative
8511,Brexit Party,Brexit Party
8512,Labour,Labour
8513,Liberal Democrat,Liberal Democrat
8514,Conservative,Conservative
8515,Conservative,Conservative
8516,Brexit Party,Brexit Party
8517,Conservative,Conservative
8518,Conservative,Conservative
8519,Liberal Democrat,Liberal Democrat
8520,Conservative,Conservative
8521,Liberal Democrat,Liberal Democrat
8522,Green Party,Green Party
8523,Conservative,Conservative
8524,Conservative,Conservative
8525,Conservative,Conservative
8526,Conservative,Conservative
8527,Brexit Party,Brexit Party
8528,Labour,Labour
8529,Conservative,Conservative
8530,Conservative,Conservative
8531,Labour,Labour
8532,Labour,Labour
8533,Conservative,Conservative
8534,Labour,Labour
8535,Liberal Democrat,Liberal Democrat
8536,Labour,Labour
8537,Labour,Labour
8538,Liberal Democrat,Liberal Democrat
8539,Labour,Labour
8540,Labour,Labour
8541,Labour,Labour
8542,Brexit Party,Brexit Party
8543,Conservative,Conservative
8544,Brexit Party,Brexit Party
8545,Brexit Party,Brexit Party
8546,Labour,Labour
8547,Labour,Labour
8548,Brexit Party,Brexit Party
8549,Labour,Labour
8550,Green Party,Green Party
8551,Labour,Labour
8552,Brexit Party,Brexit Party
8553,Labour,Labour
8554,Labour,Labour
8555,Labour,Labour
8556,Labour,Labour
8557,Brexit Party,Brexit Party
8558,Liberal Democrat,Liberal Democrat
8559,Labour,Labour
8560,Liberal Democrat,Liberal Democrat
8561,Conservative,Conservative
8562,Labour,Labour
8563,Liberal Democrat,Liberal Democrat
8564,Liberal Democrat,Liberal Democrat
8565,Liberal Democrat,Liberal Democrat
8566,Labour,Labour
8567,Liberal Democrat,Liberal Democrat
8568,Labour,Labour
8569,Conservative,Conservative
8570,Green Party,Green Party
8571,Labour,Labour
8572,Labour,Labour
8573,Liberal Democrat,Liberal Democrat
8574,Liberal Democrat,Liberal Democrat
8575,Labour,Labour
8576,Labour,Labour
8577,Labour,Labour
8578,Liberal Democrat,Liberal Democrat
8579,Conservative,Conservative
8580,Conservative,Conservative
8581,Conservative,Conservative
8582,Liberal Democrat,Liberal Democrat
8583,Liberal Democrat,Liberal Democrat
8584,Labour,Labour
8585,Labour,Labour
8586,Labour,Labour
8587,Conservative,Conservative
8588,Labour,Labour
8589,Liberal Democrat,Liberal Democrat
8590,Brexit Party,Brexit Party
8591,Brexit Party,Brexit Party
8592,Labour,Labour
8593,Labour,Labour
8594,Liberal Democrat,Liberal Democrat
8595,Liberal Democrat,Liberal Democrat
8596,Conservative,Conservative
8597,Conservative,Conservative
8598,Labour,Labour
8599,Labour,Labour
8600,Liberal Democrat,Liberal Democrat
8601,Conservative,Conservative
8602,Conservative,Conservative
8603,Conservative,Conservative
8604,Conservative,Conservative
8605,Conservative,Conservative
8606,Conservative,Conservative
8607,Labour,Labour
8608,Labour,Labour
8609,Labour,Labour
8610,Brexit Party,Brexit Party
8611,Conservative,Conservative
8612,Conservative,Conservative
8613,Conservative,Conservative
8614,Conservative,Conservative
8615,Conservative,Conservative
8616,Labour,Labour
8617,Conservative,Conservative
8618,Labour,Labour
8619,Brexit Party,Brexit Party
8620,Conservative,Conservative
8621,Conservative,Conservative
8622,Labour,Labour
8623,Conservative,Conservative
8624,Labour,Labour
8625,Liberal Democrat,Liberal Democrat
8626,Brexit Party,Brexit Party
8627,Conservative,Conservative
8628,Brexit Party,Brexit Party
8629,Liberal Democrat,Liberal Democrat
8630,Conservative,Conservative
8631,Liberal Democrat,Liberal Democrat
8632,Labour,Labour
8633,Labour,Labour
8634,Liberal Democrat,Liberal Democrat
8635,Green Party,Green Party
8636,Conservative,Conservative
8637,Labour,Labour
8638,Liberal Democrat,Liberal Democrat
8639,Conservative,Conservative
8640,Conservative,Conservative
8641,Liberal Democrat,Liberal Democrat
8642,Conservative,Conservative
8643,Conservative,Conservative
8644,Conservative,Conservative
8645,Brexit Party,Brexit Party
8646,Liberal Democrat,Liberal Democrat
8647,Liberal Democrat,Liberal Democrat
8648,Brexit Party,Brexit Party
8649,Conservative,Conservative
8650,Liberal Democrat,Liberal Democrat
8651,Liberal Democrat,Liberal Democrat
8652,Conservative,Conservative
8653,Liberal Democrat,Liberal Democrat
8654,Labour,Labour
8655,Conservative,Conservative
8656,Brexit Party,Brexit Party
8657,Conservative,Conservative
8658,Conservative,Conservative
8659,Conservative,Conservative
8660,Conservative,Conservative
8661,Conservative,Conservative
8662,Conservative,Conservative
8663,Brexit Party,Brexit Party
8664,Conservative,Conservative
8665,Liberal Democrat,Liberal Democrat
8666,Conservative,Conservative
8667,Conservative,Conservative
8668,Conservative,Conservative
8669,Liberal Democrat,Liberal Democrat
8670,Conservative,Conservative
8671,An independent candidate,An independent candidate
8672,Conservative,Conservative
8673,Liberal Democrat,Liberal Democrat
8674,Conservative,Conservative
8675,Conservative,Conservative
8676,Conservative,Conservative
8677,Brexit Party,Brexit Party
8678,Labour,Labour
8679,Conservative,Conservative
8680,Conservative,Conservative
8681,Liberal Democrat,Liberal Democrat
8682,Conservative,Conservative
8683,Brexit Party,Brexit Party
8684,Conservative,Conservative
8685,Conservative,Conservative
8686,Conservative,Conservative
8687,Labour,Labour
8688,Liberal Democrat,Liberal Democrat
8689,Brexit Party,Brexit Party
8690,Conservative,Conservative
8691,Conservative,Conservative
8692,Brexit Party,Brexit Party
8693,Liberal Democrat,Liberal Democrat
8694,Liberal Democrat,Liberal Democrat
8695,Conservative,Conservative
8696,Conservative,Conservative
8697,Conservative,Conservative
8698,Conservative,Conservative
8699,Labour,Labour
8700,Conservative,Conservative
8701,Liberal Democrat,Liberal Democrat
8702,Liberal Democrat,Liberal Democrat
8703,Liberal Democrat,Liberal Democrat
8704,Conservative,Conservative
8705,Conservative,Conservative
8706,Conservative,Conservative
8707,Labour,Labour
8708,Conservative,Conservative
8709,Conservative,Conservative
8710,Liberal Democrat,Liberal Democrat
8711,Conservative,Conservative
8712,Brexit Party,Brexit Party
8713,Conservative,Conservative
8714,Liberal Democrat,Liberal Democrat
8715,Green Party,Green Party
8716,Labour,Labour
8717,Conservative,Conservative
8718,Liberal Democrat,Liberal Democrat
8719,Liberal Democrat,Liberal Democrat
8720,Conservative,Conservative
8721,Brexit Party,Brexit Party
8722,Liberal Democrat,Liberal Democrat
8723,Conservative,Conservative
8724,Conservative,Conservative
8725,Conservative,Conservative
8726,Conservative,Conservative
8727,Conservative,Conservative
8728,Liberal Democrat,Liberal Democrat
8729,Brexit Party,Brexit Party
8730,Labour,Labour
8731,Conservative,Conservative
8732,Conservative,Conservative
8733,Brexit Party,Brexit Party
8734,Conservative,Conservative
8735,Conservative,Conservative
8736,Liberal Democrat,Liberal Democrat
